"id","name","country_id","created_at","updated_at"
159,Veracruz,18,2019-12-01 19:06:22.215,2019-12-01 19:06:22.215
164,Shan State,34,2020-01-04 01:59:11.840,2020-01-04 01:59:11.840
166,Aceh,32,2020-01-15 20:06:52.054,2020-01-15 20:06:52.054
168,Minas Gerais,16,2020-04-10 19:59:07.287,2020-04-10 19:59:07.287
170,Mount Elgon,31,2020-04-15 19:32:38.302,2020-04-15 19:32:38.302
172,Pérez Zeledón,13,2020-04-22 05:15:33.403,2020-04-22 05:15:33.403
107,Santander,14,2019-01-30 14:00:32.608,2020-05-15 20:29:08.360
175,Penachi,23,2020-05-26 22:02:37.354,2020-05-26 22:02:37.354
177,Western Region,31,2020-05-31 22:55:13.121,2020-05-31 22:55:13.121
179,"OROMIA, GUJI ZONE, URAGA WOREDA",11,2020-09-12 22:37:22.526,2020-09-12 22:37:22.526
117,Cundinamarca,14,2019-03-01 19:38:14.253,2019-03-01 19:38:14.253
118,Karinyaga,3,2019-03-04 16:43:33.352,2019-03-04 16:43:33.352
120,Nemba,12,2019-03-06 21:46:35.682,2019-03-06 21:46:35.682
121,Junin region,23,2019-03-08 04:18:48.689,2019-03-08 04:18:48.689
123,Kayanza,12,2019-03-24 14:21:42.986,2019-03-24 14:21:42.986
124,Huila,14,2019-03-24 14:30:09.129,2019-03-24 14:30:09.129
125,Oromia Region,11,2019-03-26 20:17:37.597,2019-03-26 20:17:37.597
126,Heza,12,2019-04-03 13:03:14.818,2019-04-03 13:03:14.818
127,Aiyura,25,2019-04-12 15:31:21.762,2019-04-12 15:31:21.762
128,Amazonas,23,2019-04-18 15:45:54.691,2019-04-18 15:45:54.691
129,El Chalum,4,2019-04-21 05:11:15.769,2019-04-21 05:11:15.769
130,Virunga Mountains,24,2019-04-21 20:37:24.280,2019-04-21 20:37:24.280
131,Songwe,27,2019-04-28 22:39:01.064,2019-04-28 22:39:01.064
132,Yungas,43,2019-05-08 01:03:45.170,2019-05-08 01:03:45.170
133,Junín,23,2019-05-13 16:56:00.455,2019-05-13 16:56:00.455
134,Paraná,16,2019-05-14 15:54:44.691,2019-05-14 15:54:44.691
135,Northern Burundi,12,2019-05-17 20:38:43.010,2019-05-17 20:38:43.010
136,La Paz,43,2019-05-28 13:26:43.876,2019-05-28 13:26:43.876
137,Imbabura,20,2019-05-31 18:04:04.381,2019-05-31 18:04:04.381
138,Sierra Nevada de Santa Marta,14,2019-06-12 15:23:31.848,2019-06-12 15:23:31.848
139,Rwenzori Mountains,31,2019-06-30 02:16:37.621,2019-06-30 02:16:37.621
140,Mount Elgon,3,2019-07-01 15:48:56.082,2019-07-01 15:48:56.082
141,Hawaii,15,2019-07-05 21:32:37.081,2019-07-05 21:32:37.081
142,Southwestern Highlands,11,2019-07-05 21:57:01.387,2019-07-05 21:57:01.387
143,Cauca,14,2019-07-09 19:40:59.277,2019-07-09 19:40:59.277
144,Java,32,2019-08-12 01:28:57.345,2019-08-12 01:28:57.345
145,Arusha,27,2019-09-04 17:10:18.791,2019-09-04 17:10:18.791
146,Sul de Minas,16,2019-09-16 01:02:25.526,2019-09-16 01:02:25.526
147,Misuku,21,2019-10-02 16:12:48.027,2019-10-02 16:12:48.027
148,Nord-Ouest,54,2019-10-03 01:22:20.826,2019-10-03 01:22:20.826
149,Nord-Quest,54,2019-10-03 01:25:25.248,2019-10-03 01:25:25.248
150,Cerro Buena Vista,13,2019-10-05 22:08:21.940,2019-10-05 22:08:21.940
151,Buena Vista de Rivas,13,2019-10-05 22:09:51.507,2019-10-05 22:09:51.507
152,Mantiqueira de Minas,16,2019-10-10 01:29:38.670,2019-10-10 01:29:38.670
153,Natural Reserve Cerro Datanli – El Diablo,17,2019-10-23 00:49:43.242,2019-10-23 00:49:43.242
154,Cerro Cacahuatique,19,2019-10-24 02:07:41.194,2019-10-24 02:07:41.194
157,Ixhuatlán,18,2019-11-21 00:53:38.036,2019-11-21 00:53:38.036
160,West Java,32,2019-12-11 22:01:47.109,2019-12-11 22:01:47.109
161,East Nusa Tenggara,32,2019-12-13 21:16:03.801,2019-12-13 21:16:03.801
165,Sheka Zone,11,2020-01-14 18:11:40.999,2020-01-14 18:11:40.999
167,Yunnan,40,2020-01-15 21:28:58.098,2020-01-15 21:28:58.098
169,Cartago,13,2020-04-15 19:20:19.292,2020-04-15 19:20:19.292
171,Kapkwai,31,2020-04-21 16:51:05.054,2020-04-21 16:51:05.054
173,Ibb Governorate,47,2020-05-12 00:07:59.482,2020-05-12 00:07:59.482
174,Intag,20,2020-05-25 21:48:35.936,2020-05-25 21:48:35.936
176,Southern Colombia,14,2020-05-31 21:10:29.501,2020-05-31 21:10:29.501
178,Northern Region,31,2020-06-10 17:57:31.219,2020-06-10 17:57:31.219
180,NGOZI BUSIGA,12,2020-11-26 15:45:54.709,2020-11-26 15:45:54.709
