"id","name","country_id","created_at","updated_at"
307,Mazovia,52,2019-11-08 21:26:47.058,2019-11-08 21:26:47.058
309,West Java,32,2019-11-13 18:15:46.774,2019-11-13 18:15:46.774
312,Chiriqui,30,2019-11-15 19:01:51.026,2019-11-15 19:01:51.026
314,Riga,63,2019-11-15 20:26:23.345,2019-11-15 20:26:23.345
315,West Guji,11,2019-11-15 20:59:59.224,2019-11-15 20:59:59.224
318,Bahia,16,2019-11-17 03:04:23.918,2019-11-17 03:04:23.918
319,Puebla State,18,2019-11-17 17:24:18.083,2019-11-17 17:24:18.083
322,Bella Vista,18,2019-11-22 00:31:31.998,2019-11-22 00:31:31.998
324,West Sumatra,32,2019-11-22 17:18:55.143,2019-11-22 17:18:55.143
326,San José de Caldas,14,2019-12-01 18:16:13.023,2019-12-01 18:16:13.023
328,Siltepec,18,2019-12-01 19:11:57.182,2019-12-01 19:11:57.182
330,Piura,23,2019-12-01 21:22:59.069,2019-12-01 21:22:59.069
332,Queensland,33,2019-12-06 20:59:37.509,2019-12-06 20:59:37.509
334,West Bandung,32,2019-12-11 22:01:47.114,2019-12-11 22:01:47.114
336,Ngada Regency,32,2019-12-13 21:16:03.806,2019-12-13 21:16:03.806
338,Central Province,3,2019-12-15 21:56:36.621,2019-12-15 21:56:36.621
339,Bogota D.C.,14,2019-12-18 14:49:09.351,2019-12-18 14:49:09.351
341,SG.01,64,2019-12-18 16:09:34.358,2019-12-18 16:09:34.358
343,Jakarta,32,2019-12-19 19:05:49.259,2019-12-19 19:05:49.259
344,Minnesota,15,2019-12-27 22:58:24.351,2019-12-27 22:58:24.351
345,Hawaii,15,2019-12-27 23:49:07.612,2019-12-27 23:49:07.612
346,Île-de-France,57,2020-01-01 20:19:49.842,2020-01-01 20:19:49.842
348,Mahwit,47,2020-01-03 17:30:57.145,2020-01-03 17:30:57.145
349,Taunggyi,34,2020-01-04 01:59:11.845,2020-01-04 01:59:11.845
351,Guatemala Department,4,2020-01-14 18:01:16.466,2020-01-14 18:01:16.466
352,Southern Province,35,2020-01-14 19:01:26.542,2020-01-14 19:01:26.542
355,Ainaro,48,2020-01-15 19:52:36.894,2020-01-15 19:52:36.894
357,Xishuangbanna,40,2020-01-15 21:28:58.108,2020-01-15 21:28:58.108
359,Utcubamba,23,2020-01-16 20:34:23.910,2020-01-16 20:34:23.910
360,Kigali,24,2020-01-17 18:55:52.430,2020-01-17 18:55:52.430
362,Eastern Province ,24,2020-03-30 22:01:53.344,2020-03-30 22:01:53.344
364,Bensa,11,2020-04-13 20:07:18.871,2020-04-13 20:07:18.871
366,Mbozi,27,2020-04-15 19:59:43.499,2020-04-15 19:59:43.499
369,Portland Parish,66,2020-04-21 16:49:05.061,2020-04-21 16:49:05.061
371,Harari,11,2020-04-29 00:36:57.021,2020-04-29 00:36:57.021
373,Ibb,47,2020-05-12 23:45:12.010,2020-05-12 23:45:12.010
375,East Nusa Tenggara,32,2020-05-29 16:36:19.383,2020-05-29 16:36:19.383
377,Narino,14,2020-05-31 21:10:29.507,2020-05-31 21:10:29.507
379,Kanugu,31,2020-05-31 22:55:13.127,2020-05-31 22:55:13.127
381,Zombo,31,2020-06-10 17:57:31.225,2020-06-10 17:57:31.225
383,Haraaz,47,2020-06-10 19:08:55.980,2020-06-10 19:08:55.980
385,NGOZI BUSIGA,12,2020-11-26 15:45:54.725,2020-11-26 15:45:54.725
127,South Kivu,39,2018-11-02 14:37:46.678,2018-11-02 14:37:46.678
128,Yunnan,40,2018-11-03 23:05:50.925,2018-11-03 23:05:50.925
129,Santa Rosa,4,2018-11-07 21:16:32.965,2018-11-07 21:16:32.965
130,North Sumatra,32,2018-11-13 02:56:22.132,2018-11-13 02:56:22.132
131,Bita Genet District,11,2018-11-13 03:55:15.578,2018-11-13 03:55:15.578
132,El Paraíso,22,2018-11-19 00:54:27.529,2018-11-19 00:54:27.529
133,Adwa,11,2018-11-21 01:21:00.199,2018-11-21 01:21:00.199
134,South Carolina,15,2018-11-28 17:28:36.268,2018-11-28 17:28:36.268
135,Bururi,12,2018-11-28 18:02:17.699,2018-11-28 18:02:17.699
136,Jalapa,4,2018-12-08 19:28:20.899,2018-12-08 19:28:20.899
137,Satipo,23,2018-12-10 22:30:50.638,2018-12-10 22:30:50.638
138,Pinchincha,20,2018-12-12 02:28:16.802,2018-12-12 02:28:16.802
139,Phetchabun,42,2018-12-12 02:36:10.266,2018-12-12 02:36:10.266
140,Western Province,24,2018-12-20 18:12:19.583,2018-12-20 18:12:19.583
141,East Jutland ,38,2019-01-03 21:05:31.134,2019-01-03 21:05:31.134
142,Western Highlands,25,2019-01-04 01:09:09.537,2019-01-04 01:09:09.537
143,Tambul-Nebilyer District,25,2019-01-07 02:52:11.071,2019-01-07 02:52:11.071
144,Kween District,31,2019-01-07 02:57:15.256,2019-01-07 02:57:15.256
145,Antigua,4,2019-01-07 03:29:08.517,2019-01-07 03:29:08.517
146,Chirripó,13,2019-01-09 02:17:32.465,2019-01-09 02:17:32.465
147,Stockholm,37,2019-01-09 03:30:54.705,2019-01-09 03:30:54.705
148,Capital Region,38,2019-01-09 03:36:07.774,2019-01-09 03:36:07.774
149,Central Jutland,38,2019-01-09 03:40:28.573,2019-01-09 03:40:28.573
150,Flanders,44,2019-01-12 14:05:04.460,2019-01-12 14:05:04.460
151,North Holland,45,2019-01-12 14:05:33.481,2019-01-12 14:05:33.481
152,Brussels Capital,44,2019-01-12 14:26:55.524,2019-01-12 14:26:55.524
153,Ngariama,3,2019-01-16 13:46:05.604,2019-01-16 13:46:05.604
154,Oslo,46,2019-01-17 02:12:10.635,2019-01-17 02:12:10.635
155,Gedeo,11,2019-01-17 02:47:50.321,2019-01-17 02:47:50.321
156,Usulután ,19,2019-01-17 02:56:59.113,2019-01-17 02:56:59.113
157,Southern Province,24,2019-01-19 15:25:32.922,2019-01-19 15:25:32.922
158,Jaén,23,2019-01-21 01:19:13.084,2019-01-21 01:19:13.084
159,Centro District,18,2019-01-21 01:49:22.451,2019-01-21 01:49:22.451
160,Jinotega ,17,2019-01-21 01:55:21.926,2019-01-21 01:55:21.926
161,Northern Province,24,2019-01-22 04:27:14.976,2019-01-22 04:27:14.976
162,Saskatchewan,2,2019-01-23 01:04:02.662,2019-01-23 01:04:02.662
163,Chiriquí ,30,2019-01-23 01:11:22.471,2019-01-23 01:11:22.471
164,Sharqi,47,2019-01-23 03:21:10.085,2019-01-23 03:21:10.085
165,Colorado,15,2019-01-24 21:32:59.111,2019-01-24 21:32:59.111
166,Sulawesi,32,2019-01-24 21:36:47.098,2019-01-24 21:36:47.098
167,Muramvya,12,2019-01-30 00:11:25.922,2019-01-30 00:11:25.922
168,Moshi Rural,27,2019-02-03 16:51:47.158,2019-02-03 16:51:47.158
169,Muranga,3,2019-02-06 15:54:45.475,2019-02-06 15:54:45.475
