"id","created_at","updated_at","name","label","website","iana_timezone"
18,2017-09-28 20:29:59.446,2018-09-14 02:38:18.437,propeller coffee co,Propeller Coffee Co,https://propellercoffee.com/,America/Toronto
50,2018-09-16 23:47:30.542,2018-09-17 00:15:01.792,george howell coffee,George Howell Coffee,http://www.georgehowellcoffee.com/,
51,2018-09-17 00:20:23.092,2018-09-17 00:37:04.157,floozy,Floozy,https://www.floozycoffee.com/,
14,2017-09-23 09:08:06.189,2020-11-20 00:39:25.446,dispatch,Dispatch,https://dispatchcoffee.ca/,America/Toronto
52,2018-09-17 00:41:13.684,2018-09-17 00:49:25.462,matchstick,Matchstick,https://matchstickyvr.com/,
54,2018-09-22 21:34:34.987,2018-09-22 21:37:04.729,monogram coffee,Monogram Coffee,http://monogramcoffee.com/,
56,2018-09-28 01:28:34.756,2018-09-28 01:38:07.561,balzac's coffee roasters,Balzac's Coffee Roasters,https://www.balzacs.com/,
164,2019-09-23 16:17:48.112,2019-09-23 16:18:16.583,market lane coffee,Market Lane Coffee,https://marketlane.com.au,
62,2018-09-28 12:54:30.608,2018-09-28 13:03:17.324,cat & cloud,Cat & Cloud,https://catandcloud.com/,America/Los_Angeles
63,2018-10-03 02:18:24.218,2018-10-03 02:22:23.304,rosso coffee roasters,Rosso Coffee Roasters,https://www.rossocoffeeroasters.com,
64,2018-10-07 02:39:14.486,2018-10-07 03:57:22.716,kohi micro torrefacteur,Kohi Micro Torrefacteur,https://www.kohi.ca,
65,2018-10-07 04:06:11.942,2018-10-07 04:08:13.754,chance coffee,Chance Coffee,https://www.chancecoffee.ca,
70,2018-10-19 13:02:37.959,2020-06-15 00:47:01.063,two bears coffee,Two Bears Coffee,https://www.twobears.ca,
53,2018-09-19 21:50:31.824,2020-09-20 20:37:03.789,hatch coffee roasters,Hatch Coffee Roasters,https://www.hatchcrafted.com/,
68,2018-10-13 02:00:48.672,2018-10-13 02:05:14.382,the barn,The Barn,https://thebarn.de,
72,2018-10-22 01:20:16.413,2018-10-22 01:28:39.711,rooftop coffee roasters,Rooftop Coffee Roasters,https://www.rooftopcoffeeroasters.com,
78,2018-11-03 22:20:40.617,2018-11-03 22:36:49.431,irving farm new york,Irving Farm New York,https://irvingfarm.com,
77,2018-11-02 13:06:32.739,2018-11-15 04:00:57.869,seth taylor: coffee by design,Seth Taylor: Coffee By Design,https://sethtaylor.ca/,America/Toronto
66,2018-10-07 17:21:41.700,2018-11-11 22:28:51.924,everyday gourmet coffee roasters,Everyday Gourmet Coffee Roasters,https://www.everydaycoffee.com/,
80,2018-11-17 15:23:34.711,2018-11-17 17:10:34.686,nektar torrefacteur,Nektar Torréfacteur,https://nektar.ca/,America/Montreal
81,2018-11-28 17:28:36.262,2018-11-28 17:32:18.845,methodical coffee,Methodical Coffee,https://methodicalcoffee.com,America/New_York
71,2018-10-21 01:26:41.205,2018-12-08 16:08:05.956,luna coffee,Lüna Coffee,https://enjoylunacoffee.com/shop/,America/Vancouver
82,2018-12-10 02:38:41.937,2018-12-10 02:43:08.450,la finca distribution corp.,La Finca Distribution Corp.,https://www.lafincadistribution.com/,America/Vancouver
55,2018-09-23 23:44:54.236,2019-01-09 03:24:47.510,timbertrain coffee roaster,Timbertrain Coffee Roaster,https://www.timbertraincoffeeroasters.com/,America/Vancouver
73,2018-10-26 12:22:17.413,2019-01-09 03:30:54.718,drop coffee roasters,Drop Coffee Roasters,https://www.dropcoffee.com/,
75,2018-10-31 12:34:21.083,2019-01-09 03:36:07.783,the coffee collective,The Coffee Collective,https://coffeecollective.dk/,
84,2018-12-20 16:31:51.850,2018-12-20 16:32:17.138,lenoir lacroix,Lenoir Lacroix,https://lenoirlacroix.ca,
67,2018-10-10 14:08:55.458,2019-01-02 18:48:56.428,outpost coffee roasters,Outpost Coffee Roasters,https://outpostcoffee.com,
155,2019-09-11 17:02:21.554,2019-09-11 17:03:04.158,mala czarna,Mala Czarna,https://www.facebook.com/pg/palarniamalaczarna/shop,
7,2017-09-22 01:20:04.754,2019-01-09 03:05:13.382,ditta artigianale,Ditta Artigianale,http://www.dittaartigianale.it/,
32,2018-01-04 21:28:39.507,2019-01-09 03:11:34.703,rocanini coffee roasters,Rocanini Coffee Roasters,https://www.rocanini.com,America/Vancouver
35,2018-01-04 23:17:33.762,2019-01-09 03:22:40.965,wrecking ball coffee roasters,Wrecking Ball Coffee Roasters,https://www.wreckingballcoffee.com,America/Los_Angeles
69,2018-10-17 13:34:17.403,2019-01-09 03:28:22.327,pop coffee works,Pop Coffee Works,https://www.popcoffeeworks.com/,America/Toronto
74,2018-10-30 22:43:33.978,2019-01-09 03:33:07.257,high seas coffee co.,High Seas Coffee Co.,https://highseascoffee.co/,
76,2018-10-31 13:25:39.132,2019-01-09 03:37:39.923,little victories coffee roasters,Little Victories Coffee Roasters ,https://www.lvcoffee.ca/,America/Toronto
87,2019-01-03 21:05:31.127,2019-01-09 03:40:28.583,la cabra coffee roasters,La Cabra Coffee Roasters ,https://www.lacabra.dk/,
83,2018-12-17 16:35:50.167,2019-01-09 03:41:45.263,drumroaster coffee,Drumroaster Coffee,https://www.drumroaster.com/,America/Vancouver
88,2019-01-12 14:05:04.435,2019-01-12 14:05:42.278,caffenation,Caffenation,https://caffenation.be,
102,2019-02-07 23:45:30.106,2019-02-07 23:51:39.619,the colombian mountain coffee,The Colombian Mountain Coffee,https://www.thecolombian.ca/,
89,2019-01-12 14:05:33.472,2019-01-12 14:10:51.729,back to black,Back to Black,http://www.backtoblackcoffee.nl/en/,
91,2019-01-12 14:27:33.356,2019-01-12 14:27:58.263,kolonel coffee roasters,Kolonel Coffee Roasters,https://kolonelcoffee.be,
90,2019-01-12 14:26:55.517,2019-01-12 14:29:39.277,cafe capitale,Café Capitale,https://cafecapitale.com,
5,2017-09-22 01:18:39.558,2019-03-24 04:30:10.075,nomad,Nomad,https://nomadcoffee.es/,
97,2019-01-21 12:58:35.763,2019-01-22 04:16:25.193,no6 coffee co.,No6 Coffee Co.,https://no6coffee.co/,America/Vancouver
95,2019-01-17 15:02:36.967,2019-01-18 00:37:50.268,regalia company,Regalia Company,https://regaliacompany.com/,
96,2019-01-19 14:44:51.754,2019-01-19 14:45:20.864,coffee manufactory,Coffee Manufactory,https://www.coffeemanufactory.com,
98,2019-01-23 01:04:02.656,2019-01-23 01:07:32.246,prairie lily,Prairie Lily,https://www.prairielilycoffee.com/,
100,2019-01-30 13:48:52.514,2019-02-03 03:35:19.543,augies coffee roasters,Augies Coffee Roasters,https://augies.coffee/,
99,2019-01-24 21:32:59.105,2019-02-06 16:52:32.582,sweet bloom coffee roasters,Sweet Bloom Coffee Roasters,https://sweetbloomcoffee.com/,
101,2019-02-06 16:54:28.583,2019-02-06 17:49:54.368,escape coffee roasters,Escape Coffee Roasters,https://www.escape.cafe,
209,2019-12-27 22:58:24.326,2019-12-27 22:58:24.326,paradise coffee roasters,Paradise Coffee Roasters,https://paradiseroasters.com,
105,2019-02-15 01:29:26.789,2019-02-15 01:32:16.823,typeface coffee roasters,Typeface Coffee Roasters,https://www.typefacecoffeeroasters.com/,
92,2019-01-12 14:36:23.614,2019-07-18 16:00:45.289,belga and co.,Belga and Co.,https://www.belgacoffee.com,
93,2019-01-16 18:15:50.788,2019-03-25 22:49:19.128,rabbit hole roasters,Rabbit Hole Roasters,https://www.rabbitholeroasters.com,America/Montreal
104,2019-02-13 01:03:16.455,2019-02-15 02:52:17.468,cafe pista,Café Pista,https://www.cafepista.com/,
19,2017-10-12 23:52:18.358,2019-03-08 22:54:06.676,sam james coffee bar,Sam James Coffee Bar,https://www.samjamescoffeebar.com,America/Toronto
120,2019-04-19 22:04:43.813,2019-04-19 22:05:20.421,partners coffee roasters,Partners Coffee Roasters,https://www.partnerscoffee.com,
107,2019-03-15 00:29:48.904,2020-09-20 20:37:52.422,java roasters,JAVA ROASTERS,https://www.javaroasters.ca/,
108,2019-03-20 01:16:36.813,2019-03-20 01:29:14.383,magpie coffee roasters,Magpie Coffee Roasters,https://www.magpieroasters.com,
109,2019-03-20 23:51:12.914,2019-03-20 23:57:08.769,jj bean,JJ Bean,https://jjbeancoffee.com,
156,2019-09-12 18:26:57.573,2019-09-12 18:31:02.761,verve coffee roasters,Verve Coffee Roasters,https://www.vervecoffee.com,
106,2019-03-14 23:19:59.947,2019-04-01 17:15:52.662,le bruloir,Le Bruloir,https://www.lebruloir.com,America/Montreal
111,2019-04-03 14:52:13.670,2019-04-03 14:52:57.220,lark coffee roasters,Lark Coffee Roasters,https://larkcoffee.ca,
113,2019-04-11 01:03:50.805,2019-04-11 01:12:03.975,new harvest coffee,New Harvest Coffee,https://newharvestcoffee.com,
