"id","name","label","species_id","created_at","updated_at","description"
124,Gujicha,Gujicha,1,2018-12-08 18:38:35.960,2018-12-08 18:38:35.960,
129,Kapi Royal,Kapi Royal,2,2018-12-20 14:30:22.550,2018-12-20 14:30:22.550,
130,Tupi,Tupi,1,2018-12-20 18:09:40.245,2018-12-20 18:09:40.245,
131,Obata,Obata,1,2018-12-20 18:10:03.563,2018-12-20 18:10:03.563,
198,Borboncito,Borboncito,1,2019-08-27 20:46:12.041,2019-08-27 20:46:12.041,
117,dega/diga,Dega/Diga,1,2018-11-14 17:31:57.481,2019-01-06 20:31:46.323,
108,SL14,SL14,1,2018-10-25 01:11:03.364,2019-01-06 21:14:22.638,
132,SL32,SL32,1,2019-01-02 19:03:37.237,2019-01-06 21:14:29.886,
135,Bourbon Pointu,Bourbon Pointu,1,2019-01-07 02:30:13.521,2019-01-07 02:30:13.521,
136,Sudan Rume,Sudan Rume,1,2019-01-07 02:34:44.736,2019-01-07 02:34:44.736,
137,Ihcafe 90,Ihcafe 90,1,2019-01-12 14:24:11.168,2019-01-12 14:24:11.168,
138,Longberry,Longberry,1,2019-01-15 02:24:25.272,2019-01-15 02:24:25.272,
139,Parainema,Parainema,1,2019-01-16 14:08:06.285,2019-01-16 14:08:06.285,
140,Bourbon Elite,Bourbon Elite,1,2019-01-17 02:59:27.407,2019-01-17 02:59:27.407,
142,Bedessa,Bedessa,1,2019-01-21 02:26:37.820,2019-01-21 02:26:37.820,
144,Jackson,Jackson,1,2019-01-22 04:31:10.913,2019-01-22 04:31:10.913,
145,Tuffahi,Tuffahi,1,2019-01-23 03:08:54.670,2019-01-23 03:08:54.670,
146,Dawairi,Dawairi,1,2019-01-23 03:09:18.292,2019-01-23 03:09:18.292,
147,Jaadi,Jaadi,1,2019-01-23 03:09:36.937,2019-01-23 03:09:36.937,
148,Laurina,Laurina,1,2019-01-23 03:34:50.972,2019-01-23 03:34:50.972,
151,Garnica,Garnica,1,2019-01-26 04:38:44.592,2019-01-26 04:38:44.592,
152,"74165","74165",1,2019-02-03 17:04:30.948,2019-02-03 17:04:30.948,
